ts,src,dst,sport,dport,proto,length,flags
1761810640.1111505,204.79.197.222,192.168.128.228,443,64497,6,1354,A
1761810640.1111505,192.168.128.228,204.79.197.222,64497,443,6,54,A
1761810640.1111505,204.79.197.222,192.168.128.228,443,64497,6,476,PA
1761810640.1111505,192.168.128.228,204.79.197.222,64497,443,6,54,A
1761810640.1111505,192.168.128.228,204.79.197.222,64497,443,6,128,PA
1761810640.1111505,192.168.128.228,204.79.197.222,64497,443,6,146,PA
1761810640.1111505,192.168.128.228,204.79.197.222,64497,443,6,1206,PA
1761810640.1664267,57.144.124.145,192.168.128.228,443,51317,6,54,A
1761810640.2729795,204.79.197.222,192.168.128.228,443,64497,6,54,A
1761810640.2742465,204.79.197.222,192.168.128.228,443,64497,6,513,PA
1761810640.2780626,204.79.197.222,192.168.128.228,443,64497,6,116,PA
1761810640.2780626,204.79.197.222,192.168.128.228,443,64497,6,274,PA
1761810640.2780626,192.168.128.228,204.79.197.222,64497,443,6,54,A
1761810640.2780626,204.79.197.222,192.168.128.228,443,64497,6,85,PA
1761810640.2780626,192.168.128.228,204.79.197.222,64497,443,6,54,A
1761810640.2780626,192.168.128.228,204.79.197.222,64497,443,6,85,PA
1761810640.4767752,204.79.197.222,192.168.128.228,443,64497,6,54,A
1761810640.4767752,57.144.124.145,192.168.128.228,443,51317,6,79,PA
1761810640.5212939,192.168.128.228,57.144.124.145,51317,443,6,54,A
1761810641.1762817,192.168.128.228,104.199.241.202,63244,80,6,65,PA
1761810641.6021786,104.199.241.202,192.168.128.228,80,63244,6,65,PA
1761810641.6432865,192.168.128.228,104.199.241.202,63244,80,6,54,A
1761810643.2037585,192.168.128.228,192.168.128.255,57621,57621,17,86,
1761810649.2802992,192.168.128.235,192.168.128.255,57621,57621,17,82,
1761810651.0996797,192.168.128.228,57.144.124.145,51317,443,6,83,PA
1761810651.18835,57.144.124.145,192.168.128.228,443,51317,6,54,A
1761810651.4343653,57.144.124.145,192.168.128.228,443,51317,6,79,PA
1761810651.4902885,192.168.128.228,57.144.124.145,51317,443,6,54,A
